	P2-1	P2-2	P2-3	P2-4	P2-5	P2-6	P2-7	P2-8	P2-9	P2-10
E7EX29	1.133631835067961	7.75838589665911	1.7996817195189756	16.993959960965082	8.076789368029214	30.17461140754075	29.25251896050019	6.446413132016975	24.121740824786038	3.9697124260682775
P62191	14.005367914628238	12.384500187678306	1.6004709715070669	0.032298727526359754	20.27274007652023	7.302032747694491	6.596647341029108	2.2579263827865526	5.254715874492449	12.067366361054479
Q99460	0.48985884400806395	4.53191977019056	2.249202581203131	5.820407883169479	11.311153452699916	47.113378470109424	49.46637222627338	4.618449373588068	29.42505721858869	23.951702227968944
P52209	6.193087490866077	6.527545086946334	5.968356589839954	1.492061371260026	0.2578162536373799	14.582798388423221	0.19972661698599894	83.50270933958724	0.1709152444494557	24.46575970898646
P08253	8.71867142692727	12.435814479611594	0.05064109197381248	1.9776686946295066	9.13193348340207	0.3262503430050979	0.2333780168412944	62.31080794048205	6.936226099029907	20.733492474097055
P27338	0.21533924190893797	0.8796362375619555	0.567738957846503	8.77240160252144	1.6787412209108838	36.97105737218837	16.21771779834697	50.87338856679444	9.369068523322763	9.397953942005541
P15144	4.212322977612129	0.3089424703091872	0.5224744684437687	1.1809053296695151	0.009593554298803037	17.12687364499953	8.943438760655114	26.642174541981014	163.39626910816764	12.182274890417556
P05067	3.7997582017696847	6.516423406826128	0.24090297188946913	7.784260359751192	0.7726472056329504	59.205491064607166	6.113883192489362	54.392474198345234	24.433029737109734	4.945397557391068
Q9UJX5	3.446062289722379	2.1564133966110086	21.088993826008235	1.602557066292026	3.3786439557529038	50.10414040030804	13.75783123224434	48.90558340050201	73.38602909364961	9.235382019826952
Q8N302	18.536856537393778	1.9325790293117868	4.165259900353077	6.75471085270844	9.117865136563832	14.731893525255337	5.15331877189948	123.9515521584905	8.409861156596099	6.035224089331108
P03950	1.4281067410941088	10.484874766805543	0.929941734004089	1.8030536550288756	8.22854947208687	26.706036468486616	2.4439295572037043	34.1624976839978	131.74434518512803	17.376878879300293
Q9Y5C1	4.655154512659642	1.6403139133453501	1.5254547213485894	19.573686962328875	4.471746169926991	6.134596953047636	13.825001394531766	48.52131294976006	1.8981914907468609	41.30441123926906
