	P3-1_Rep1	P3-1_Rep2	P3-2_Rep1	P3-2_Rep2	P3-3_Rep1	P3-3_Rep2	P3-4_Rep1	P3-4_Rep2	P3-5_Rep1	P3-5_Rep2	P3-6_Rep1	P3-6_Rep2	P3-7_Rep1	P3-7_Rep2	P3-8_Rep1	P3-8_Rep2	P3-9_Rep1	P3-9_Rep2	P3-10_Rep1	P3-10_Rep2
E7EX29	1.295035646262098	3.643396347935843	4.209109068726809	1.50538988689463	2.0794168331100362	4.389150760879665	4.215317561922914	10.405822694971963	4.214182595478311	2.100492288916294	27.5074533293718	9.47921388058415	1.338482419259662	3.9425051120945027	7.836889590741762	10.00292666976927	61.94246107050755	106.48723609594319	0.9783010588436863	24.843574931303053
P62191	13.790248219161462	3.7594078029890214	0.6560234434355341	3.388367020941633	0.18745976209979354	0.7660800556052223	7.049395528823412	4.860597929400734	4.474515306200709	2.76266110325762	24.73249956747345	10.809825655666888	18.38896768297957	8.062447510363983	42.78016704745535	57.65100570318181	5.575447204980468	117.05091476729608	6.932933406292198	17.38856579288535
Q99460	2.3863489379281915	2.268295952981087	6.194416462225959	11.471302072333723	3.2414408898064058	15.876802400497338	3.5511144039694793	7.132346751547041	2.324911685335109	4.727358436586816	18.08071636967773	13.978450442387317	0.07358544542355662	6.09696591905036	40.28288367350263	12.69587381049527	1.6345497495343	28.128039384434526	6.908383426013394	5.936292310587758
P52209	6.373364998719506	2.783785409697526	1.2895254538958163	8.551923433855697	7.186198617987303	0.12675539132590863	0.32195627351424594	20.853279286202376	0.03927476312595768	17.72364664571545	1.0564127118313051	29.114957470316185	48.424742861312566	12.254448185383565	0.09946019557305749	19.00558122627258	17.10962381606052	6.994504769556061	28.59092059229224	0.5378280390159601
P08253	23.177730850899735	25.62967525317594	4.415195268762852	7.774717522054269	8.168795309928619	4.06017229510137	6.658442111506551	10.935041172657911	0.928138755260317	3.031758745174966	69.84599451237153	51.63631546524724	12.060281006472026	4.176462048730601	17.237053096259782	16.768189403783136	5.7833691989158265	14.086995365733609	50.69406128390017	11.671977447976989
P27338	5.932178631887362	2.3918403734589284	0.6080496447610594	6.924805935050636	0.3859387325769506	0.7339071213995101	7.606490498363643	6.1802043728934875	25.208488061864678	7.571253841788327	29.567604010006843	1.5889676926934109	2.2691944675988203	46.40523786791591	12.105206425550456	41.12497899408111	18.128604101137512	34.97750886726935	51.92010785183362	3.77268749084806
P15144	3.2872309250348564	12.713811968746462	2.928220686817558	0.02269595265587893	3.3377590646944992	7.551039421877245	5.876696951019639	4.017253499726291	1.414719708247577	0.9583011393568401	21.571979132111196	33.26152775022383	43.981988187763676	13.732430166105827	79.9275998155537	5.161509406931445	4.950435262025256	30.512956663439173	12.434699403400995	9.756310894314485
P05067	15.328772362248085	0.6458964802469979	2.7021005536811287	13.352195417084232	10.585653233124575	1.3614764023127044	1.3243595975856357	10.103819631495366	2.4557715474762047	3.9553686236769807	1.3849199139139683	35.49911311001138	18.161229537707683	2.388464642591712	16.667380403492828	27.432909914334598	80.23788209281828	19.09891280772631	46.785837489463006	6.118906573740813
Q9UJX5	7.205861210972145	2.6746552988538586	1.152344918647448	5.491263952832202	0.10076943268570368	6.787904488250858	1.8333875759382898	3.433589378842262	1.6577373535129893	0.03226179845543687	11.183586592535203	1.2955577864528476	53.179777819281085	71.82461212068421	16.219813134063735	30.185286386646425	41.218761662391316	38.261806238912094	2.0761705696805786	29.80365052670469
Q8N302	2.6761030110212	2.277954629461828	18.454163429818454	1.1198935495318392	2.6968151210185827	6.358917254754685	5.196302731117363	1.8826627599688381	2.1920739165411463	3.4419124238444927	24.47637019833902	38.78374445072013	16.09518764404811	39.793141955039616	7.562306046471473	21.359201536767213	32.5852056552799	205.62061311003114	10.51379965789161	1.4458922037487765
P03950	8.36043211405819	6.393816948091414	4.296200172796435	9.375810746982568	0.26605167277604513	6.6618408857414515	10.750333557091905	3.2023482617151484	8.688657086615452	2.092841809555458	101.07253381394656	12.215652509870823	49.65092778590975	37.17180130600203	34.30831664405186	29.994788435694904	12.99380676124732	29.516064331332814	64.42393652943139	6.503084925123701
Q9Y5C1	6.604281438165848	8.962211322519284	3.728777325584617	4.533891272869975	5.658161630824777	9.700086604098466	0.8074416735777408	1.6896223062006452	1.4769592560107878	2.2527149721699073	33.60113617767056	20.444172674657413	16.61461026454953	53.18709179853715	58.3864443827088	14.095583584274962	48.03370557861741	31.59349548707253	0.05205915050684186	5.3920091042627
