	P1-1_Rep1	P1-1_Rep2	P1-2_Rep1	P1-2_Rep2	P1-3_Rep1	P1-3_Rep2	P1-4_Rep1	P1-4_Rep2	P1-5_Rep1	P1-5_Rep2	P1-6_Rep1	P1-6_Rep2	P1-7_Rep1	P1-7_Rep2	P1-8_Rep1	P1-8_Rep2	P1-9_Rep1	P1-9_Rep2	P1-10_Rep1	P1-10_Rep2
E7EX29	1.920467578152184	0.748244664438539	2.7475594366607474	1.00729376658813	0.7022564620890437	17.024313933483906	24.951360069977998	2.509665794412992	0.2958503571314661	1.8797968381902148	102.42350188513454	6.398963968460849	74.50956548346558	30.768535445519614	6.153245909645235	7.281051169699033	10.041759569209402	62.59400840992198	3.224933364489261	0.15616012631320114
P62191	3.591332997799603	5.925106022501615	3.932990900677688	0.10421333817739	0.15541501280029607	0.27917400420315497	11.600519457846016	21.618448432656393	2.4106545854706756	3.6808523200724186	22.66740251442992	8.65991889432683	59.06278106910171	12.513393069038395	16.185649528163005	1.733874473387845	1.2596376019339102	5.623717764682288	5.742433934877436	16.24758032042267
Q99460	1.0910368889171098	1.1616863396113994	1.8194400600496616	0.04660792558234227	1.5231294321734292	6.2166805337785735	4.796055193381235	2.2523239163847024	1.3181370696989836	7.60269206018487	226.49980463901622	4.932946123761905	50.03286912087279	19.762190071345795	12.362787572725031	17.14595404569709	23.76641185512686	5.8768229664622	44.37801140048109	33.53978372546112
P52209	4.490467760859173	22.260869218603354	1.034984239659711	11.072331669911918	2.892356183530161	22.35148844200686	3.39141051096734	2.1086170698988522	1.799627308559148	4.65062038485522	6.507283778712257	60.36789714513164	40.6314316214927	3.355620044738678	4.116867226797668	30.31370706064524	22.521918647209077	11.591324901198503	40.16242238361647	48.8261575072036
P08253	1.1589965613965945	4.890137748229183	0.3587104211251254	4.093087979308177	2.332819335153515	7.320091235368713	0.22951361392313446	7.49437703189849	7.576145793806094	0.886573909607814	14.948845446360238	28.786924691519605	48.059886515113966	2.356805766167785	22.16161020462779	3.822475305118024	35.06545728242255	38.99859430399172	35.04610609169181	29.950387925782913
P27338	14.473322487644452	0.15917152813021757	5.583728059790554	0.05635214801695417	1.0150418167707222	3.7693839318171656	0.8509827486567232	1.387566858993935	1.4046175217050973	5.179142867669196	9.33569100009217	1.8437275889447509	40.67867369169766	25.167842766788915	2.6958127026868848	4.206716908154791	7.006361380798554	11.17503042498638	30.186468394521786	66.04810852846678
P15144	8.837202116387031	0.8856251389777646	2.52496875992775	2.10280284290532	0.5974364939791221	6.4759041628015215	1.5785096952469937	1.9760112228402833	2.646934074750864	8.69572093373416	4.951864133519118	3.4621775828953893	19.61665881018753	52.476947103532886	4.992308603795722	6.547542306786861	29.02416827821412	2.337355457814904	15.359350220423362	3.6592690448573864
P05067	0.29471541027448156	0.3378859209667636	15.627607365428155	11.067518437820091	11.220454484631759	4.244506451357843	16.643449437298937	2.926576956000922	4.410006357950361	4.3516745674191695	31.633715664354934	28.582067233956455	0.2903706032180575	2.5260501739115218	11.830308206909624	8.38857213623422	21.01542300177737	1.7528155964772547	9.751977099798406	0.5689704768613287
Q9UJX5	9.661740889737203	14.908035946767331	0.48036528416410096	1.244088071848882	4.9009663214328	0.4167914999389436	15.395091161080458	0.7788975932036544	7.68920542639791	3.4114619148855456	4.444711079932461	3.2501355596769144	4.757725743863619	20.639420537833928	2.4184435742240558	21.210206545791056	13.733277434193287	8.47061224140027	27.173202735329816	57.19708020759147
Q8N302	4.915620396219519	0.9407373826488117	6.656416451848851	0.15438010545007128	2.073899645019142	1.358754105011434	0.2966890957422271	6.227888777665209	26.551793227026202	2.6727400758400433	11.484277774323223	78.97863479185091	10.392183092612315	52.08353835747981	29.618826188073026	16.97882659078521	48.97313356660697	39.550840464043716	4.449513321921908	12.625815849823544
P03950	6.580802154564483	1.7033098608772235	4.762252923130304	10.376484730961318	0.025000201020674778	5.378285166483504	25.841318915990076	4.664824346043855	5.09337762071684	2.494326143424693	4.755816140118885	3.2163899167624765	0.16041481815740366	13.610220243966253	47.26592657892561	3.145673708139476	39.32508348352524	10.54597943097304	9.805885210194928	9.686819925450017
Q9Y5C1	6.183614805575611	2.3842914638075605	6.8554625425804625	2.8729551158500084	5.275938159397827	8.30504424858368	3.411010441111091	2.817630608654622	1.2331666798598493	1.3585651068632545	0.16391303150427608	17.404966588608044	9.530218514583815	16.056887446212233	3.672695846527473	44.576251381282574	30.702938966933544	25.615056870735653	0.27694200504841343	62.03618617162232
